,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Typical_price,cum_avg,cum_vol,VWAP
126,126,EUR_USD,M1,False,2,2022-01-11T04:59:00.000000000Z,1.13408,1.1341,1.13408,1.1341,1.1340933333333334,1267.7815200000002,1118,1.1339727370304116
127,127,EUR_USD,M1,False,3,2022-01-11T04:59:00.000000000Z,1.13408,1.1341,1.13408,1.13409,1.13409,1271.1837900000003,1121,1.133973050847458
128,128,EUR_USD,M1,False,4,2022-01-11T04:59:00.000000000Z,1.13408,1.1341,1.13408,1.1341,1.1340933333333334,1275.7201633333336,1125,1.1339734785185187
129,129,EUR_USD,M1,False,5,2022-01-11T04:59:00.000000000Z,1.13408,1.1341,1.13408,1.13408,1.1340866666666667,1281.3905966666669,1130,1.1339739793510326
130,130,EUR_USD,M1,False,2,2022-01-11T05:00:00.000000000Z,1.1341,1.13412,1.1341,1.13412,1.1341133333333335,1283.6588233333334,1132,1.1339742255594818
131,131,EUR_USD,M1,False,3,2022-01-11T05:00:00.000000000Z,1.1341,1.13412,1.1341,1.13412,1.1341133333333335,1287.0611633333335,1135,1.1339745932452279
132,132,EUR_USD,M1,False,4,2022-01-11T05:00:00.000000000Z,1.1341,1.13412,1.1341,1.13411,1.13411,1291.5976033333336,1139,1.1339750687737784
133,133,EUR_USD,M1,False,6,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.1341,1.13412,1.1341166666666667,1298.4023033333335,1145,1.1339758107714704
134,134,EUR_USD,M1,False,8,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.13408,1.13408,1.1340966666666665,1307.4750766666668,1153,1.1339766493206132
135,135,EUR_USD,M1,False,9,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.13408,1.13409,1.1340999999999999,1317.6819766666667,1162,1.1339776047045325
136,136,EUR_USD,M1,False,10,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.13408,1.1341,1.1341033333333332,1329.02301,1172,1.1339786774744027
137,137,EUR_USD,M1,False,11,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.13408,1.13412,1.13411,1341.4982200000002,1183,1.1339798985629757
138,138,EUR_USD,M1,True,11,2022-01-11T05:00:00.000000000Z,1.1341,1.13413,1.13408,1.13412,1.13411,1353.9734300000002,1194,1.1339810971524291
139,139,EUR_USD,M1,False,1,2022-01-11T05:01:00.000000000Z,1.13413,1.13413,1.13413,1.13413,1.13413,1355.1075600000001,1195,1.1339812217573224
140,140,EUR_USD,M1,False,2,2022-01-11T05:01:00.000000000Z,1.13413,1.13414,1.13413,1.13414,1.1341366666666668,1357.3758333333335,1197,1.1339814814814817
141,141,EUR_USD,M1,False,3,2022-01-11T05:01:00.000000000Z,1.13413,1.13416,1.13413,1.13416,1.1341500000000002,1360.7782833333335,1200,1.133981902777778
142,142,EUR_USD,M1,False,4,2022-01-11T05:01:00.000000000Z,1.13413,1.13418,1.13413,1.13418,1.1341633333333334,1365.3149366666669,1204,1.1339825055370987
143,143,EUR_USD,M1,False,1,2022-01-11T05:02:00.000000000Z,1.13417,1.13417,1.13417,1.13417,1.13417,1366.449106666667,1205,1.1339826611341635
144,144,EUR_USD,M1,False,3,2022-01-11T05:02:00.000000000Z,1.13417,1.13417,1.13416,1.13417,1.1341666666666665,1369.8516066666668,1208,1.1339831181015454
145,145,EUR_USD,M1,False,4,2022-01-11T05:02:00.000000000Z,1.13417,1.13417,1.13416,1.13416,1.1341633333333332,1374.3882600000002,1212,1.1339837128712873
146,146,EUR_USD,M1,False,5,2022-01-11T05:02:00.000000000Z,1.13417,1.13417,1.13416,1.13417,1.1341666666666665,1380.0590933333335,1217,1.133984464530266
147,147,EUR_USD,M1,True,5,2022-01-11T05:02:00.000000000Z,1.13417,1.13417,1.13416,1.13417,1.1341666666666665,1385.7299266666669,1222,1.1339852100381889
148,148,EUR_USD,M1,False,1,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13419,1.13419,1.13419,1386.8641166666669,1223,1.1339853774870539
149,149,EUR_USD,M1,False,2,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13418,1.13418,1.1341833333333333,1389.1324833333335,1225,1.1339857006802723
150,150,EUR_USD,M1,False,3,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13416,1.13416,1.13417,1392.5349933333334,1228,1.1339861509229099
151,151,EUR_USD,M1,False,4,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13416,1.13418,1.1341766666666666,1397.0717000000002,1232,1.1339867694805197
152,152,EUR_USD,M1,False,5,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13416,1.13418,1.1341766666666666,1402.7425833333334,1237,1.1339875370520076
153,153,EUR_USD,M1,False,6,2022-01-11T05:03:00.000000000Z,1.13419,1.13419,1.13416,1.13417,1.1341733333333333,1409.5476233333334,1243,1.133988433896487
154,154,EUR_USD,M1,False,1,2022-01-11T05:04:00.000000000Z,1.13418,1.13418,1.13418,1.13418,1.13418,1410.6818033333334,1244,1.1339885878885316
155,155,EUR_USD,M1,False,2,2022-01-11T05:04:00.000000000Z,1.13418,1.1342,1.13418,1.1342,1.1341933333333334,1412.95019,1246,1.1339889165329053
156,156,EUR_USD,M1,False,4,2022-01-11T05:04:00.000000000Z,1.13418,1.13422,1.13418,1.1342,1.1341999999999999,1417.48699,1250,1.133989592
157,157,EUR_USD,M1,False,1,2022-01-11T05:05:00.000000000Z,1.13418,1.13418,1.13418,1.13418,1.13418,1418.6211700000001,1251,1.1339897442046365
158,158,EUR_USD,M1,False,2,2022-01-11T05:05:00.000000000Z,1.13418,1.13418,1.13417,1.13417,1.1341733333333333,1420.8895166666669,1253,1.133990037243948
159,159,EUR_USD,M1,False,3,2022-01-11T05:05:00.000000000Z,1.13418,1.13418,1.13417,1.13418,1.1341766666666666,1424.292046666667,1256,1.1339904830148622
160,160,EUR_USD,M1,False,4,2022-01-11T05:05:00.000000000Z,1.13418,1.13418,1.13417,1.13417,1.1341733333333333,1428.8287400000002,1260,1.1339910634920636
161,161,EUR_USD,M1,False,8,2022-01-11T05:06:00.000000000Z,1.13415,1.13415,1.13406,1.1341,1.1341033333333332,1437.901566666667,1268,1.133991771819138
162,162,EUR_USD,M1,False,1,2022-01-11T05:07:00.000000000Z,1.13408,1.13408,1.13408,1.13408,1.13408,1439.035646666667,1269,1.1339918413448913
