,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,ATR
3334,EUR_USD,M5,True,167,2022-01-26T18:50:00.000000000Z,1.12902,1.12905,1.12874,1.1288,0.000316010422576
3335,EUR_USD,M5,True,206,2022-01-26T18:55:00.000000000Z,1.12878,1.12882,1.12846,1.12851,0.00031645031835
3336,EUR_USD,M5,True,2357,2022-01-26T19:00:00.000000000Z,1.12848,1.13015,1.12768,1.1277,0.000337985815166
3337,EUR_USD,M5,True,1340,2022-01-26T19:05:00.000000000Z,1.12774,1.12858,1.12742,1.12826,0.000346205957015
3338,EUR_USD,M5,True,921,2022-01-26T19:10:00.000000000Z,1.12828,1.12962,1.12828,1.1296,0.000356343897444
3339,EUR_USD,M5,True,1188,2022-01-26T19:15:00.000000000Z,1.12958,1.12976,1.12862,1.12928,0.00036418045847
3340,EUR_USD,M5,True,461,2022-01-26T19:20:00.000000000Z,1.12927,1.12931,1.12864,1.12886,0.000367238653885
3341,EUR_USD,M5,True,645,2022-01-26T19:25:00.000000000Z,1.12885,1.12914,1.12874,1.12885,0.000367566267346
3342,EUR_USD,M5,True,1297,2022-01-26T19:30:00.000000000Z,1.12883,1.12896,1.12752,1.12794,0.000378290604673
3343,EUR_USD,M5,True,1912,2022-01-26T19:35:00.000000000Z,1.12796,1.12888,1.12674,1.12778,0.000395907698626
3344,EUR_USD,M5,True,2212,2022-01-26T19:40:00.000000000Z,1.12744,1.12768,1.1255,1.12594,0.00041474862164
3345,EUR_USD,M5,True,2266,2022-01-26T19:45:00.000000000Z,1.12593,1.12606,1.12485,1.12495,0.000422701135424
3346,EUR_USD,M5,True,2221,2022-01-26T19:50:00.000000000Z,1.12496,1.1267,1.1249,1.12544,0.000436474124069
3347,EUR_USD,M5,True,1949,2022-01-26T19:55:00.000000000Z,1.12546,1.12573,1.12474,1.12554,0.000442009382829
3348,EUR_USD,M5,True,1678,2022-01-26T20:00:00.000000000Z,1.12553,1.12553,1.12476,1.1249,0.000445389289
3349,EUR_USD,M5,True,1603,2022-01-26T20:05:00.000000000Z,1.12486,1.12513,1.12464,1.1247,0.00044583539611
3350,EUR_USD,M5,True,1133,2022-01-26T20:10:00.000000000Z,1.12472,1.12522,1.1245,1.12451,0.000448577042149
3351,EUR_USD,M5,True,994,2022-01-26T20:15:00.000000000Z,1.1245,1.1245,1.12401,1.12427,0.000449091271728
3352,EUR_USD,M5,True,861,2022-01-26T20:20:00.000000000Z,1.12429,1.12448,1.12388,1.12423,0.00045060035901
3353,EUR_USD,M5,True,903,2022-01-26T20:25:00.000000000Z,1.12422,1.1244,1.12382,1.12423,0.00045189435542
3354,EUR_USD,M5,True,621,2022-01-26T20:30:00.000000000Z,1.12422,1.12456,1.12394,1.124,0.000453575411866
3355,EUR_USD,M5,True,715,2022-01-26T20:35:00.000000000Z,1.12398,1.12403,1.12353,1.12362,0.000454039657748
3356,EUR_USD,M5,True,453,2022-01-26T20:40:00.000000000Z,1.12364,1.12414,1.1236,1.12401,0.00045489926117
3357,EUR_USD,M5,True,408,2022-01-26T20:45:00.000000000Z,1.124,1.12408,1.12368,1.12405,0.000454350268558
3358,EUR_USD,M5,True,355,2022-01-26T20:50:00.000000000Z,1.12406,1.12437,1.12393,1.12428,0.000454206765873
3359,EUR_USD,M5,True,320,2022-01-26T20:55:00.000000000Z,1.1243,1.12448,1.124,1.12404,0.000454464698214
3360,EUR_USD,M5,True,174,2022-01-26T21:00:00.000000000Z,1.12406,1.12442,1.12403,1.12406,0.000453820051232
3361,EUR_USD,M5,True,117,2022-01-26T21:05:00.000000000Z,1.12405,1.12407,1.12368,1.12384,0.00045318185072
3362,EUR_USD,M5,True,123,2022-01-26T21:10:00.000000000Z,1.12382,1.12382,1.12356,1.12358,0.000451450032212
3363,EUR_USD,M5,True,87,2022-01-26T21:15:00.000000000Z,1.12359,1.12374,1.12357,1.12368,0.00044863553189
3364,EUR_USD,M5,True,76,2022-01-26T21:20:00.000000000Z,1.12367,1.12373,1.12356,1.12366,0.000445849176571
3365,EUR_USD,M5,True,53,2022-01-26T21:25:00.000000000Z,1.12364,1.12399,1.12362,1.1239,0.000445090684806
3366,EUR_USD,M5,True,70,2022-01-26T21:30:00.000000000Z,1.1239,1.1239,1.12364,1.12374,0.000443239777958
3367,EUR_USD,M5,True,61,2022-01-26T21:35:00.000000000Z,1.12373,1.12395,1.12368,1.12395,0.000441507380178
3368,EUR_USD,M5,True,41,2022-01-26T21:40:00.000000000Z,1.12394,1.124,1.12386,1.12397,0.000438492306376
3369,EUR_USD,M5,True,65,2022-01-26T21:45:00.000000000Z,1.12398,1.124,1.12388,1.12397,0.000435307383312
3370,EUR_USD,M5,True,62,2022-01-26T21:50:00.000000000Z,1.12398,1.12425,1.12392,1.12425,0.000434254309479
3371,EUR_USD,M5,True,63,2022-01-26T21:55:00.000000000Z,1.12424,1.12432,1.12407,1.1241,0.000432411766385
3372,EUR_USD,M5,True,1,2022-01-26T22:00:00.000000000Z,1.12418,1.12418,1.12418,1.12418,0.000428887648721
3373,EUR_USD,M5,True,21,2022-01-26T22:05:00.000000000Z,1.1241,1.12412,1.12385,1.12394,0.000427898772233
3374,EUR_USD,M5,True,4,2022-01-26T22:10:00.000000000Z,1.12386,1.12401,1.12386,1.12394,0.000425119784511
3375,EUR_USD,M5,True,13,2022-01-26T22:15:00.000000000Z,1.12398,1.12398,1.12382,1.12394,0.000422468586666
3376,EUR_USD,M5,True,5,2022-01-26T22:20:00.000000000Z,1.12392,1.124,1.12392,1.124,0.000419043900799
3377,EUR_USD,M5,True,6,2022-01-26T22:25:00.000000000Z,1.12406,1.1241,1.12399,1.12399,0.000415953461791
3378,EUR_USD,M5,True,48,2022-01-26T22:30:00.000000000Z,1.12412,1.12424,1.12397,1.12414,0.000414493927173
3379,EUR_USD,M5,True,33,2022-01-26T22:35:00.000000000Z,1.12417,1.12422,1.12413,1.12419,0.000411248987902
3380,EUR_USD,M5,True,2,2022-01-26T22:40:00.000000000Z,1.12416,1.12418,1.12416,1.12418,0.000407436498023
3381,EUR_USD,M5,True,2,2022-01-26T22:45:00.000000000Z,1.12415,1.12415,1.1241,1.1241,0.000404162133043
3382,EUR_USD,M5,True,16,2022-01-26T22:55:00.000000000Z,1.12413,1.1242,1.1241,1.1241,0.000401120511712
3383,EUR_USD,M5,True,116,2022-01-26T23:00:00.000000000Z,1.12408,1.12426,1.12392,1.12421,0.000400509306595
3384,EUR_USD,M5,True,101,2022-01-26T23:05:00.000000000Z,1.12422,1.12422,1.12385,1.12396,0.000400204213529
3385,EUR_USD,M5,True,120,2022-01-26T23:10:00.000000000Z,1.12398,1.1241,1.12374,1.12381,0.000399802171394
3386,EUR_USD,M5,True,108,2022-01-26T23:15:00.000000000Z,1.12379,1.12394,1.12356,1.12364,0.00039960414968
3387,EUR_USD,M5,True,28,2022-01-26T23:20:00.000000000Z,1.12368,1.12372,1.1236,1.12364,0.000396808108183
3388,EUR_USD,M5,True,27,2022-01-26T23:25:00.000000000Z,1.12366,1.12373,1.12362,1.12369,0.000393940027101
