,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
3696,EUR_USD,S5,False,2,2022-01-06T08:20:45.000000000Z,1.12945,1.12945,1.12944,1.12944
3707,EUR_USD,S5,False,1,2022-01-06T08:20:50.000000000Z,1.12944,1.12944,1.12944,1.12944
3710,EUR_USD,S5,False,2,2022-01-06T08:20:50.000000000Z,1.12944,1.12944,1.12942,1.12942
3722,EUR_USD,S5,False,6,2022-01-06T08:20:55.000000000Z,1.12944,1.12953,1.12944,1.12953
3730,EUR_USD,S5,False,7,2022-01-06T08:20:55.000000000Z,1.12944,1.12953,1.12944,1.12952
3741,EUR_USD,S5,False,1,2022-01-06T08:21:00.000000000Z,1.12952,1.12952,1.12952,1.12952
3745,EUR_USD,S5,False,3,2022-01-06T08:21:00.000000000Z,1.12952,1.12952,1.12952,1.12952
3751,EUR_USD,S5,False,2,2022-01-06T08:21:05.000000000Z,1.12954,1.12955,1.12954,1.12955
3752,EUR_USD,S5,False,4,2022-01-06T08:21:05.000000000Z,1.12954,1.12958,1.12954,1.12956
3753,EUR_USD,S5,False,6,2022-01-06T08:21:05.000000000Z,1.12954,1.12958,1.12952,1.12952
3781,EUR_USD,S5,True,6,2022-01-06T08:21:05.000000000Z,1.12954,1.12958,1.12952,1.12952
3783,EUR_USD,S5,False,17,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12966
3784,EUR_USD,S5,False,18,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12967
3786,EUR_USD,S5,False,19,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12966
3788,EUR_USD,S5,False,22,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12964
3789,EUR_USD,S5,False,23,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12962
3793,EUR_USD,S5,False,27,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12965
3794,EUR_USD,S5,False,31,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12965
3797,EUR_USD,S5,True,31,2022-01-06T08:21:15.000000000Z,1.12954,1.12968,1.12954,1.12965
3798,EUR_USD,S5,False,1,2022-01-06T08:21:20.000000000Z,1.12964,1.12964,1.12964,1.12964
3801,EUR_USD,S5,False,2,2022-01-06T08:21:20.000000000Z,1.12964,1.12966,1.12964,1.12966
3816,EUR_USD,S5,False,1,2022-01-06T08:21:25.000000000Z,1.12964,1.12964,1.12964,1.12964
3819,EUR_USD,S5,False,4,2022-01-06T08:21:25.000000000Z,1.12964,1.12966,1.12964,1.12966
3833,EUR_USD,S5,False,1,2022-01-06T08:21:30.000000000Z,1.12964,1.12964,1.12964,1.12964
3839,EUR_USD,S5,False,5,2022-01-06T08:21:30.000000000Z,1.12964,1.12964,1.12962,1.12964
3842,EUR_USD,S5,False,6,2022-01-06T08:21:30.000000000Z,1.12964,1.12964,1.12962,1.12962
3859,EUR_USD,S5,True,6,2022-01-06T08:21:30.000000000Z,1.12964,1.12964,1.12962,1.12962
3882,EUR_USD,S5,False,7,2022-01-06T08:21:45.000000000Z,1.12964,1.1297,1.12964,1.1297
3883,EUR_USD,S5,False,9,2022-01-06T08:21:45.000000000Z,1.12964,1.12974,1.12964,1.12974
3885,EUR_USD,S5,False,10,2022-01-06T08:21:45.000000000Z,1.12964,1.12974,1.12964,1.12974
3902,EUR_USD,S5,False,4,2022-01-06T08:21:50.000000000Z,1.12975,1.12978,1.12975,1.12977
3906,EUR_USD,S5,False,7,2022-01-06T08:21:50.000000000Z,1.12975,1.12978,1.12973,1.12973
3907,EUR_USD,S5,True,8,2022-01-06T08:21:50.000000000Z,1.12975,1.12978,1.12973,1.12974
3910,EUR_USD,S5,False,2,2022-01-06T08:21:55.000000000Z,1.12976,1.12976,1.12975,1.12975
3916,EUR_USD,S5,False,3,2022-01-06T08:21:55.000000000Z,1.12976,1.12976,1.12974,1.12974
3917,EUR_USD,S5,False,4,2022-01-06T08:21:55.000000000Z,1.12976,1.12976,1.12973,1.12973
3939,EUR_USD,S5,False,1,2022-01-06T08:22:00.000000000Z,1.12972,1.12972,1.12972,1.12972
3953,EUR_USD,S5,True,1,2022-01-06T08:22:00.000000000Z,1.12972,1.12972,1.12972,1.12972
3959,EUR_USD,S5,False,3,2022-01-06T08:22:10.000000000Z,1.1297,1.12972,1.1297,1.12972
3987,EUR_USD,S5,True,3,2022-01-06T08:22:10.000000000Z,1.1297,1.12972,1.1297,1.12972
4002,EUR_USD,S5,False,4,2022-01-06T08:22:20.000000000Z,1.1297,1.1297,1.12968,1.12968
4004,EUR_USD,S5,True,4,2022-01-06T08:22:20.000000000Z,1.1297,1.1297,1.12968,1.12968
4006,EUR_USD,S5,False,2,2022-01-06T08:22:25.000000000Z,1.12967,1.12967,1.12966,1.12966
4008,EUR_USD,S5,False,4,2022-01-06T08:22:25.000000000Z,1.12967,1.12967,1.12963,1.12963
4009,EUR_USD,S5,False,5,2022-01-06T08:22:25.000000000Z,1.12967,1.12967,1.12961,1.12961
4015,EUR_USD,S5,False,6,2022-01-06T08:22:25.000000000Z,1.12967,1.12967,1.12959,1.12959
4022,EUR_USD,S5,True,6,2022-01-06T08:22:25.000000000Z,1.12967,1.12967,1.12959,1.12959
4023,EUR_USD,S5,False,4,2022-01-06T08:22:30.000000000Z,1.12958,1.12958,1.12956,1.12956
4032,EUR_USD,S5,False,5,2022-01-06T08:22:30.000000000Z,1.12958,1.12958,1.12956,1.12958
4033,EUR_USD,S5,False,6,2022-01-06T08:22:30.000000000Z,1.12958,1.12962,1.12956,1.12962
4041,EUR_USD,S5,False,1,2022-01-06T08:22:35.000000000Z,1.1296,1.1296,1.1296,1.1296
